text,annotation_43,annotation_44,annotation_45,annotation_46
Save Western Ghats from annihilation,lockdowns,,,
Save Beacon Hill Park,lockdowns,,,
Government of India: Don't Tax Medical Bills,lockdowns,,,
NO FAILING @ UCR,lockdowns,,,
WIAA - Let them play football!,lockdowns,masking and distancing,lockdowns,
#NoJailDuringCovid: Coronavirus Pandemic – Release the Bhima Koregaon political prisoners,lockdowns,,,
Schedule Disneyland to reopen at a later date.,lockdowns,lockdowns,lockdowns,lockdowns
Proteggere Italia e Svizzera dal COVID-19 | Protect Italy and Switzerland from COVID-19,lockdowns,,,
Cancel 12 th board exam,lockdowns,,,lockdowns
Close all CCPS schools to limit spread of Coronavirus,lockdowns,lockdowns,lockdowns,lockdowns
SAVE OUR FREEDOMS- No mandated mask-wearing,masking and distancing,masking and distancing,masking and distancing,masking and distancing
Appeal to the President of India on issues thrown up during lockdown,lockdowns,,lockdowns,lockdowns
Waive off School Fee at Indian Schools in Oman due to COVID-19,lockdowns,lockdowns,lockdowns,
Covid-19 Youth Brigades exploited,lockdowns,masking and distancing,,
Protection from COVID-19,lockdowns,masking and distancing,masking and distancing,
Change URI to Pass/Fail grading system (with a letter grade option) for Spring 2020,lockdowns,,,
"Allow restaurants to offer outdoor ""Curbside Plus"" dining",lockdowns,lockdowns,lockdowns,lockdowns
Close Holland and Barrett Stores. (Covid-19 Crisis),lockdowns,lockdowns,,lockdowns
Doug Ford: Reinstate the Covid benefit for all ODSP recipients,lockdowns,,,
Petition for holidays in Colleges in concern of COVID-19,lockdowns,,lockdowns,
Protecting the Rights of Birthing People to Give Birth in a Safe and Supported Environment,lockdowns,,,
"NSW Govt, under the Protection of Covid-19 will commence the slaughter of our Snowy Brumby",lockdowns,,,
Duval County Beach Access (COVID-19),lockdowns,,lockdowns,
Save Local Flower Shops - Let Them Deliver On Mother's Day,lockdowns,,,lockdowns
Save Japanese Restaurants from Bankruptcy During COVID-19/防止日本餐廳業界破產倒閉之對策/일본 레스토랑 도산 방지 대책,lockdowns,,,
Ticketmaster Refund Our Money Now! - COVID 19,lockdowns,,lockdowns,
"Make it ""Zoe's Law""..Ensure ALL moles/tags removed, are tested BY LAW for melanoma cancer.",masking and distancing,,,
Get British performers home from cruise ships #GetBenhome #Covid 19,lockdowns,masking and distancing,,
Allow Antepartum Women to Have Support Partners in Hospitals During COVID-19,masking and distancing,lockdowns,"masking and distancing,lockdowns",masking and distancing
#PostPoneJEEandNEET in COVID,lockdowns,,lockdowns,lockdowns
Larang Perdagangan Daging Hewan Liar di Indonesia / Stop Selling Wild Meat in Indonesia,masking and distancing,,,
Reverse Postponement of Winter & Spring Sports,lockdowns,,lockdowns,
#letthedjsplay,lockdowns,,,
