text,annotation_73,annotation_74,annotation_75,annotation_76
COVID-19 Awards,,,,
Cancel the 2020-2021 school year SOLs,lockdowns,lockdowns,,lockdowns
..,,,,
Protect our nurses!,,,,
SENSELESS IMPRISONMENT FOR MY MOM.. FIRST TIME OFFENDER NON-VIOLENT CRIME,,,,lockdowns
COVID-19: Demand immediate release for those incarcerated in Knox County jail,,,,lockdowns
"Petition to recall Desmond Elliot from the Lagos House of Assembly, Surulere Constituency",,,,
Texas UIL Spring Sports/Competitions to be completed during the Summer of 2020,,,,
Prioritize Vaccinating Florida Teachers,vaccination,vaccination,,vaccination
Save Plum Island Coffee Roasters,,,,
Suspend Rent & Mortgage in Canada during COVID-19,,,,
Ask the City of Winston-Salem to support in-street dining for downtown resturants!,lockdowns,,,
Have Online Classes & Close Physical BMCC campus due to Outbreak of COVID-19,lockdowns,lockdowns,lockdowns,lockdowns
Appello per la pace in Etiopia,,,,
Stop Guinea Pig Vaccine Tests In  Africa for Covid 19/ Corona Virus,,vaccination,vaccination,
Rowan University: Universal Pass System,,,,
Allow Athletic Therapists to treat their patients,,,,
Allow not COVID related evictions,,,,
#FreeNeko from Navajo County Jail,,,,
ÖZEL OKUL ÖDEMELERİNİNDE İNDİRİM,,,,
Allow Golf courses to open in Ontario,lockdowns,lockdowns,,lockdowns
Extend Winter Break at UBC,,,,
Include Preschool Teachers in the Phase 1b vaccine rollout in Kentucky,vaccination,vaccination,,vaccination
"Justice for Dr. Abhishek Bhayana, youngest frontline covid warrior",,,,
Petition for Approval to Provide Illinois Early Intervention Services via Telehealth,,,,
Help animal shelters during COVID-19,,,,
"Allow access in Point Roberts, WA for Canadian property, boat & animal owners",lockdowns,,,lockdowns
Lower Tuition at Hope College During Covid-19,,lockdowns,,
School Stays ON !,,,,lockdowns
Licensure Extension for TLLP due to COVID-19,,,,
Cancel rental payment for international student of Australia during COVID-19 crisis,,,,
Provide easily accessible and free COVID-19 testing across India.,,,,
Community Demands for Lesley University's Covid-19 Response,,,,
Free Jay Regas,,,,
Remove Dr. Wajid Ahmed from his position as Medical Officer of Health for Windsor/Essex,,,,
Hazard Pay For Essential Workers,,,,
Let our 4 year old Melbourne kinder kids go to their Primary Schools for prep orientation,lockdowns,,,lockdowns
