text,annotation_112,annotation_109,annotation_110,annotation_111
Get CoVID Vaccines to Nepal ASAP and prevent a humanitarian disaster,vaccination,vaccination,vaccination,vaccination
Compensate Essential Workers,,,vaccination,"masking and distancing,lockdowns"
Amend Recent COVID-19 Restrictions for Personal Care Services in London-Middlesex from,,lockdowns,lockdowns,masking and distancing
Petition against COVID-19 & Quarantine Bill: Say NO! to abuse of power and human rights.,lockdowns,,,
KCL Has Coronavirus Case: Petition to Have Online Classes by March 9th,lockdowns,lockdowns,lockdowns,
School safety.,lockdowns,lockdowns,"vaccination,masking and distancing",lockdowns
NCAA Covid-19 Eligibility Relief,,,,
RI State schools to STOP charging campus fees when classes are online.,,lockdowns,lockdowns,
Let these military pets come home!,,,,"vaccination,masking and distancing,lockdowns"
Texas State: Cancel all online class fees.,,lockdowns,lockdowns,lockdowns
Vermeiden von Pandemien - Schließung chinesischer Tiermärkte,,lockdowns,,lockdowns
Help SJSU Students Cancel Their Lease at The Grad in the Middle of COVID-19 Outbreak!,,lockdowns,lockdowns,lockdowns
Suspend mortgage and rent payments during Covid-19 crisis in New Jersey,,,lockdowns,lockdowns
COVID-19 Response to Support Families with Disabled Children,,,,
Save Roma St Parklands,,,lockdowns,masking and distancing
Guarantee UEA Final Year Students A Graduation Ceremony,masking and distancing,lockdowns,lockdowns,
Uber’s “ Clean Air Fee” to be paid to Uber Drivers as Emergency Situation ( COVID-19 ),masking and distancing,,"masking and distancing,lockdowns",masking and distancing
End Brookings City Council COVID Policies,lockdowns,lockdowns,lockdowns,
Make Google Education Services available for Iran,,,lockdowns,
Queens Park Allotment Covid-19,,,"masking and distancing,lockdowns",vaccination
Close UO Eugene Campus due to COVID-19 Death in Washington and New Cases,lockdowns,lockdowns,lockdowns,lockdowns
Life-saving measures to protect Louisiana Prisoners from COVID-19,masking and distancing,,"vaccination,masking and distancing","vaccination,masking and distancing"
Require Face Masks in Idaho Shared Public Spaces,masking and distancing,masking and distancing,masking and distancing,masking and distancing
Give Stanford Graduate Students Housing Flexibility w/COVID-19 Concerns,,lockdowns,lockdowns,lockdowns
Allow International Students to stay in the U​.​S. even with institutions going online,lockdowns,lockdowns,lockdowns,vaccination
Close schools over coronovirus,lockdowns,lockdowns,lockdowns,lockdowns
Tax relief for key worker during Covid-19 crisis,,,lockdowns,lockdowns
Grant all illegal migrants leave to remain in Ireland.,,lockdowns,,
Allow Dorset Council powers to limit tourists and protect our local NHS from a second wave,lockdowns,lockdowns,lockdowns,"vaccination,masking and distancing"
Bring back the six sports impacted by the St. Edward's University Athletics budget cuts,,lockdowns,lockdowns,
Break due to the Pandemic,lockdowns,lockdowns,lockdowns,lockdowns
Don’t forget Ltd company business owners during COVID-19,lockdowns,,,masking and distancing
Provisional licenses for eligible  teens in MA who are affected by COVID-19 shut down.,lockdowns,lockdowns,lockdowns,lockdowns
EUA Approval From FDA For Rapid COVID-19 Tests,vaccination,,vaccination,vaccination
STOP oil drilling in The Bahamas,,,,
Delay reopening of Arkansas Public Schools because of COVID-19. Protect our children!,lockdowns,lockdowns,lockdowns,"vaccination,masking and distancing,lockdowns"
LockdownPakistan- economic losses now or disastrous economic and human losses later?,,lockdowns,lockdowns,
Protect pregnant healthcare workers in the UK from COVID-19,,,,"vaccination,masking and distancing"
Save Altitude Trampoline Park in Spokane Valley,lockdowns,lockdowns,lockdowns,
Hazard Pay for Security Officers as Fontliners during COVID-19 Pandemic,,,,masking and distancing
Heritage Golf & Country Club - don’t kill beloved local kangas!,lockdowns,,lockdowns,
