text,annotation_51,annotation_52,annotation_53,annotation_54
Follow the CDC guidelines. Don’t become a statistic.,masking and distancing,,masking and distancing,
Do you agree with CDC guidelines that children as young as two should be masked?,masking and distancing,masking and distancing,masking and distancing,masking and distancing
"So, both #Pharmaceutical companies #lilly and #Johnsonandjohnson have suspended trials on #Covidvaccine 😱 I’m sure… https://t.co/iGLSGLyqUH",vaccination,vaccination,vaccination,vaccination
The CDC's guidelines are clear; you just don't like them.,masking and distancing,,,
CDC Updates School Guidelines For Students Returning In The Fall  https://t.co/j8OEklA9uJ,"masking and distancing,lockdowns",lockdowns,lockdowns,
School Officials React to New CDC Guidelines  https://t.co/QEXFHh9Mjk,"masking and distancing,lockdowns",,lockdowns,
"#China, the virus and #Egypt. #CovidVaccine https://t.co/cQdR26BMuM",vaccination,,vaccination,vaccination
My state will get #CovidVaccine On December 2023. https://t.co/B4V1thoBY7,vaccination,,vaccination,vaccination
"The World is looking at #Hyderabad for #CovidVaccine 

#COVID19India https://t.co/vDvTmEIo2m",vaccination,vaccination,vaccination,vaccination
Congratulations to for successfull development of the #CovidVaccine. Now World is able to find the… https://t.co/to07M8qAk5,vaccination,,vaccination,vaccination
"Sadly, President Biden and CDC Director are doing the same thing now, in lifting the indoor mask guidelines. It's very disappointing.",masking and distancing,masking and distancing,masking and distancing,masking and distancing
Anyone who entertains - at all - the possibility of a #CovidVaccine being safely available in time f… https://t.co/8o9fVKe7mg,vaccination,,vaccination,vaccination
".⁦⁦   So we’re now letting business groups, including the US Chamber of Commerce, set our CDC COVID guidelines?  We’d expect it from the former guy. BUT THIS ADMINISTRATION?  https://t.co/FbwNJMwCls",masking and distancing,,,
"Lol, no, it’s a direct result of quislings like you downplaying the pandemic, ignoring CDC guidelines and promoting anti-vaccination lies.","vaccination,masking and distancing",,vaccination,vaccination
"Statistics as of the end of June revealed that over 311mn vaccines have been administered to Americans. As more residents get vaccinated, states are lifting their #COVID19 restrictions to match CDC guidelines. Here are all of the updated state guidelines:  https://t.co/6HXelvYAsA","vaccination,masking and distancing,lockdowns","vaccination,lockdowns",vaccination,vaccination
"There's no magic solution, but we can a least solve 99% of the problem by following the CDC guidance. The CDC requires quarantine only of ""close contacts,"" defined as someone closer than 3' w/o a mask. Given current mask &amp; distancing guidelines, no kids would have to quarantine.  https://t.co/CUzkO1qZLp",masking and distancing,masking and distancing,"masking and distancing,lockdowns",lockdowns
"Despite my expectations, I wasn't vaccined yesterday. I was only tested for alcohol, drugs, hepatitis, syphilis and… https://t.co/CAWpaAjT6x",vaccination,vaccination,vaccination,vaccination
